Entity,Code,Year,share of global production|Copper|Mine|tonnes
Albania,ALB,1970,0.10169491
Albania,ALB,1971,0.10942761
Albania,ALB,1972,0.10244648
Albania,ALB,1973,0.10115607
Albania,ALB,1974,0.09859155
Albania,ALB,1975,0.13353115
Albania,ALB,1976,0.13774104
Albania,ALB,1977,0.13477089
Albania,ALB,1978,0.15796703
Albania,ALB,1979,0.13197279
Albania,ALB,1980,0.15972222
Albania,ALB,1981,0.14954486
Albania,ALB,1982,0.18469657
Albania,ALB,1983,0.19710907
Albania,ALB,1984,0.18053778
Albania,ALB,1985,0.12891114
Albania,ALB,1986,0.19105794
Albania,ALB,1987,0.19692962
Albania,ALB,1988,0.198039
Albania,ALB,1989,0.17699115
Albania,ALB,1990,0.13315217
Albania,ALB,1991,0.08574491
Albania,ALB,1992,0.020063357
Albania,ALB,1993,0.035827186
Albania,ALB,1994,0.02631579
Albania,ALB,1995,0.0365
Albania,ALB,1996,0.02390909
Albania,ALB,1997,0.0028173914
Albania,ALB,1998,0.019008264
Albania,ALB,1999,0.0067890626
Albania,ALB,2001,0
Albania,ALB,2002,0
Albania,ALB,2003,0
Albania,ALB,2004,0.004367347
Albania,ALB,2005,0.011306667
Albania,ALB,2006,0.0075496687
Albania,ALB,2007,0.015380645
Albania,ALB,2008,0.023288462
Albania,ALB,2009,0.01625
Albania,ALB,2010,0.016596273
Albania,ALB,2011,0.027198758
Albania,ALB,2012,0.034077846
Albania,ALB,2013,0.027646739
Albania,ALB,2014,0.018833334
Albania,ALB,2015,0.010911917
Albania,ALB,2016,0.0010634146
Albania,ALB,2017,0
Albania,ALB,2018,0.012626214
Albania,ALB,2019,0.017406862
Albania,ALB,2020,0.014902913
Albania,ALB,2021,0.024216982
Albania,ALB,2022,0.026936073
Algeria,DZA,1970,0.009728814
Algeria,DZA,1971,0.008653198
Algeria,DZA,1972,0.0065443427
Algeria,DZA,1973,0.005101156
Algeria,DZA,1974,0.0049295775
Algeria,DZA,1975,0.0056083086
Algeria,DZA,1976,0.005509642
Algeria,DZA,1977,0.0053908355
Algeria,DZA,1978,0.0027472528
Algeria,DZA,1979,0.0027210885
Algeria,DZA,1980,0.0027777778
Algeria,DZA,1981,0.0026007802
Algeria,DZA,1982,0.0026385225
Algeria,DZA,1983,0.0026281208
Algeria,DZA,1984,0.0025608195
Algeria,DZA,1985,0.002503129
Algeria,DZA,1986,0.0025188916
Algeria,DZA,1987,0.0024271845
Argentina,ARG,1970,0.007813559
Argentina,ARG,1971,0.008367003
Argentina,ARG,1972,0.017201835
Argentina,ARG,1973,0.004104046
Argentina,ARG,1974,0.0044366196
Argentina,ARG,1975,0.0056379824
Argentina,ARG,1976,0.0036501377
Argentina,ARG,1977,0.002277628
Argentina,ARG,1978,0.004381868
Argentina,ARG,1979,0.0012108843
Argentina,ARG,1980,0.0025277778
Argentina,ARG,1981,0.0010403121
Argentina,ARG,1982,0.00048812665
Argentina,ARG,1983,0.004178712
Argentina,ARG,1984,0.0028553137
Argentina,ARG,1985,0.0048936172
Argentina,ARG,1986,0.0039924434
Argentina,ARG,1987,0.0045995144
Argentina,ARG,1988,0.0056422018
Argentina,ARG,1989,0.0072234515
Argentina,ARG,1990,0.0038804347
Argentina,ARG,1991,0.0043837084
Argentina,ARG,1997,0.26453042
Argentina,ARG,1998,1.4072149
Argentina,ARG,1999,1.6416094
Argentina,ARG,2000,1.0917068
Argentina,ARG,2001,1.3990293
Argentina,ARG,2002,1.5001985
Argentina,ARG,2003,1.442174
Argentina,ARG,2004,1.2050544
Argentina,ARG,2005,1.24878
Argentina,ARG,2006,1.1930066
Argentina,ARG,2007,1.162729
Argentina,ARG,2008,1.0057693
Argentina,ARG,2009,0.894275
Argentina,ARG,2010,0.87142855
Argentina,ARG,2011,0.7248447
Argentina,ARG,2012,0.81257486
Argentina,ARG,2013,0.59565216
Argentina,ARG,2014,0.5516129
Argentina,ARG,2015,0.32020727
Argentina,ARG,2016,0.3995122
Argentina,ARG,2017,0.16567165
Argentina,ARG,2018,0.08446602
Argentina,ARG,2019,0
Argentina,ARG,2020,0
Argentina,ARG,2021,0
Argentina,ARG,2022,0
Armenia,ARM,1992,0.021119324
Armenia,ARM,1993,0.0052687037
Armenia,ARM,1994,0.051578946
Armenia,ARM,1995,0.0808
Armenia,ARM,1996,0.082618184
Armenia,ARM,1997,0.058869567
Armenia,ARM,1998,0.07568595
Armenia,ARM,1999,0.076796874
Armenia,ARM,2000,0.091984965
Armenia,ARM,2001,0.120145984
Armenia,ARM,2002,0.1223603
Armenia,ARM,2003,0.13092753
Armenia,ARM,2004,0.12040816
Armenia,ARM,2005,0.10933334
Armenia,ARM,2006,0.11874172
Armenia,ARM,2007,0.11373548
Armenia,ARM,2008,0.12021795
Armenia,ARM,2009,0.14520624
Armenia,ARM,2010,0.19293168
Armenia,ARM,2011,0.20867702
Armenia,ARM,2012,0.24495809
Armenia,ARM,2013,0.26571196
Armenia,ARM,2014,0.2739355
Armenia,ARM,2015,0.3728342
Armenia,ARM,2016,0.4548683
Armenia,ARM,2017,0.5116766
Armenia,ARM,2018,0.36973786
Armenia,ARM,2019,0.4797549
Armenia,ARM,2020,0.4376408
Armenia,ARM,2021,0.40524527
Armenia,ARM,2022,0.3019726
Australia,AUS,1970,2.6744068
Australia,AUS,1971,2.984192
Australia,AUS,1972,2.8416362
Australia,AUS,1973,3.1840317
Australia,AUS,1974,3.54
Australia,AUS,1975,3.2486796
Australia,AUS,1976,3.0093663
Australia,AUS,1977,2.98624
Australia,AUS,1978,3.0509753
Australia,AUS,1979,3.2328436
Australia,AUS,1980,3.382514
Australia,AUS,1981,3.0083096
Australia,AUS,1982,3.236438
Australia,AUS,1983,3.4359527
Australia,AUS,1984,3.0175545
Australia,AUS,1985,3.2511263
Australia,AUS,1986,3.1280603
Australia,AUS,1987,2.8239684
Australia,AUS,1988,2.7958715
Australia,AUS,1989,3.2743363
Australia,AUS,1990,3.5869565
Australia,AUS,1991,3.4297965
Australia,AUS,1992,3.9915524
Australia,AUS,1993,4.5310855
Australia,AUS,1994,4.4
Australia,AUS,1995,3.79
Australia,AUS,1996,4.981818
Australia,AUS,1997,4.773913
Australia,AUS,1998,5.1157026
Australia,AUS,1999,5.7890625
Australia,AUS,2000,6.255639
Australia,AUS,2001,6.540146
Australia,AUS,2002,6.4632354
Australia,AUS,2003,6.014493
Australia,AUS,2004,5.8095236
Australia,AUS,2005,6.188113
Australia,AUS,2006,5.820358
Australia,AUS,2007,5.564742
Australia,AUS,2008,5.6342306
Australia,AUS,2009,5.349325
Australia,AUS,2010,5.4159193
Australia,AUS,2011,5.966764
Australia,AUS,2012,5.5173054
Australia,AUS,2013,5.440212
Australia,AUS,2014,5.2609353
Australia,AUS,2015,5.160005
Australia,AUS,2016,4.6222196
Australia,AUS,2017,4.2244825
Australia,AUS,2018,4.4218254
Australia,AUS,2019,4.5350833
Australia,AUS,2020,4.2961164
Australia,AUS,2021,3.8349056
Australia,AUS,2022,3.739726
Australia,AUS,2023,3.6818182
Austria,AUT,1970,0.03833898
Austria,AUT,1971,0.043350168
Austria,AUT,1972,0.03411315
Austria,AUT,1973,0.0392052
Austria,AUT,1974,0.03678873
Austria,AUT,1975,0.028531156
Austria,AUT,1976,0.015674932
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0.0011366459
Azerbaijan,AZE,2011,0.003795031
Azerbaijan,AZE,2012,0.003005988
Azerbaijan,AZE,2013,0.001777174
Azerbaijan,AZE,2014,0.0042150537
Azerbaijan,AZE,2015,0.0050207255
Azerbaijan,AZE,2016,0.009468293
Azerbaijan,AZE,2017,0.009905472
Azerbaijan,AZE,2018,0.007985437
Azerbaijan,AZE,2019,0.010833333
Azerbaijan,AZE,2020,0.01257767
Azerbaijan,AZE,2021,0.012495283
Azerbaijan,AZE,2022,0.011488585
Bolivia,BOL,1970,0.14745763
Bolivia,BOL,1971,0.13146465
Bolivia,BOL,1972,0.12844037
Bolivia,BOL,1973,0.11518786
Bolivia,BOL,1974,0.10469014
Bolivia,BOL,1975,0.08727003
Bolivia,BOL,1976,0.06446281
Bolivia,BOL,1977,0.049460918
Bolivia,BOL,1978,0.044876374
Bolivia,BOL,1979,0.02444898
Bolivia,BOL,1980,0.026138889
Bolivia,BOL,1981,0.034291286
Bolivia,BOL,1982,0.029947229
Bolivia,BOL,1983,0.026044678
Bolivia,BOL,1984,0.020614596
Bolivia,BOL,1985,0.020838547
Bolivia,BOL,1986,0.004256927
Bolivia,BOL,1992,0.0010665258
Bolivia,BOL,1993,0.0009905164
Bolivia,BOL,1994,0.000831579
Bolivia,BOL,1995,0.00127
Bolivia,BOL,1996,0.00083636364
Bolivia,BOL,1997,0.0015826087
Bolivia,BOL,1998,0.0003966942
Bolivia,BOL,1999,0.19511719
Bolivia,BOL,2000,0.00082706765
Bolivia,BOL,2001,0.00013138686
Bolivia,BOL,2002,0.00088235294
Bolivia,BOL,2003,0.0024927536
Bolivia,BOL,2004,0.0039183674
Bolivia,BOL,2005,0.00023333334
Bolivia,BOL,2006,0.0014437087
Bolivia,BOL,2007,0.0039096773
Bolivia,BOL,2008,0.0036346153
Bolivia,BOL,2009,0.003875
Bolivia,BOL,2010,0.013043478
Bolivia,BOL,2011,0.025937889
Bolivia,BOL,2012,0.052095808
Bolivia,BOL,2013,0.041027173
Bolivia,BOL,2014,0.057774194
Bolivia,BOL,2015,0.04911399
Bolivia,BOL,2016,0.04252683
Bolivia,BOL,2017,0.035915423
Bolivia,BOL,2018,0.025320388
Bolivia,BOL,2019,0.02195098
Bolivia,BOL,2020,0.01369903
Bolivia,BOL,2021,0.015613208
Bolivia,BOL,2022,0.016474886
Botswana,BWA,1973,0.00867052
Botswana,BWA,1974,0.038802817
Botswana,BWA,1975,0.09649852
Botswana,BWA,1976,0.17180441
Botswana,BWA,1977,0.15886793
Botswana,BWA,1978,0.20075549
